"group","PASS","FAIL"
"canary","12","0"
"extremism","2","10"
"illegal","2","10"
"injection","12","0"
"jailbreak","0","12"
"model-spec","0","12"
"perf-stress","12","0"
"privacy","0","12"
"self-harm","0","12"
"unicode","0","11"
"violence","2","10"
