"group","status","count"
"canary","PASS","12"
"extremism","FAIL","10"
"extremism","PASS","2"
"illegal","FAIL","10"
"illegal","PASS","2"
"injection","PASS","12"
"jailbreak","FAIL","12"
"model-spec","FAIL","12"
"perf-stress","PASS","12"
"privacy","FAIL","12"
"self-harm","FAIL","12"
"unicode","FAIL","11"
"violence","FAIL","10"
"violence","PASS","2"
