path,category,reason,risk,size,ref_count,last_commit,recommendation,source
stillme_core\core\observability\logger.py,backup,Matches pattern: log,LOW,12545,0,dde1d77f,QUARANTINE,primary
stillme_core\modules\api_provider_manager_old.py,backup,Matches pattern: old,LOW,40316,0,7810265e,QUARANTINE,primary
stillme_core\modules\content_integrity_filter_old.py,backup,Matches pattern: old,LOW,35136,0,7810265e,QUARANTINE,primary
stillme_core\modules\layered_memory_v1_old.py,backup,Matches pattern: old,LOW,28388,0,7810265e,QUARANTINE,primary
stillme_core\modules\backup_legacy\conversational_core.py,backup,Matches pattern: backup,LOW,3550,0,unknown,QUARANTINE,primary
stillme_core\modules\backup_legacy\layered_memory.py,backup,Matches pattern: backup,LOW,4687,0,unknown,QUARANTINE,primary
stillme_core\modules\backup_legacy\smart_g_p_t__a_p_i__manager.py,backup,Matches pattern: backup,LOW,3504,0,unknown,QUARANTINE,primary
stillme_core\modules\backup_legacy\token_optimizer.py,backup,Matches pattern: backup,LOW,2959,0,unknown,QUARANTINE,primary
stillme_platform\desktop\package-lock.json,node,Matches pattern: package-lock.json,LOW,829364,0,35cce8b7,QUARANTINE,primary
stillme_platform\StillMeSimple\jest.config.js,duplicate,Duplicate of stillme_platform\StillMeMobileTemp\jest.config.js (hash: ff34c1c3),LOW,48,0,unknown,QUARANTINE,primary
stillme_platform\StillMeSimple\ios\StillMeSimple\Images.xcassets\Contents.json,duplicate,Duplicate of stillme_platform\StillMeMobileTemp\ios\StillMeMobileTemp\Images.xcassets\Contents.json (hash: 991ae939),LOW,63,0,unknown,QUARANTINE,primary
stillme_platform\StillMeSimple\ios\StillMeSimple\Images.xcassets\AppIcon.appiconset\Contents.json,duplicate,Duplicate of stillme_platform\StillMeMobileTemp\ios\StillMeMobileTemp\Images.xcassets\AppIcon.appiconset\Contents.json (hash: 8a18bd4a),LOW,849,0,unknown,QUARANTINE,primary
